,id,smiles,MW,logP,TPSA,HA,h_acc,h_don,rings,MR,Rot_bonds,lipinski
650,EDJ-MED-d08626de-4,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(Cl)c(Cl)cc21,402.053797732,4.8045000000000035,60.45,27.0,4.0,1.0,4.0,105.63370000000003,3.0,0.0
651,EDJ-MED-d08626de-3,CO[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(Cl)c(Cl)cc21,402.053797732,4.8045000000000035,60.45,27.0,4.0,1.0,4.0,105.63370000000003,3.0,0.0
652,LON-POS-586a7c45-1,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H](C(=O)NCCc1cccc(F)c1)c1cccnc1,459.23220542,5.137400000000004,62.300000000000004,34.0,3.0,1.0,3.0,132.91669999999996,8.0,1.0
653,VLA-UCB-1dbca3b4-1,O=C(Cc1cccc(Cl)c1)NC1C(=O)Nc2ccccc21,300.066555336,2.692100000000001,58.2,21.0,2.0,2.0,3.0,81.11140000000003,3.0,0.0
654,PET-UNK-e44ffd04-1,O=C(Cc1cccc(Cl)c1)Nc1nnc2ccccn12,286.06213865200004,2.5639000000000003,59.290000000000006,20.0,4.0,1.0,3.0,76.77270000000003,3.0,0.0
655,BEN-DND-61647d40-12,O=C(Cn1nnc2ccccc21)Nc1cccc(Cl)c1,286.062138652,2.7234000000000007,59.81,20.0,4.0,1.0,3.0,77.60970000000003,3.0,0.0
656,WAR-XCH-79d12f6e-6,Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,330.080491148,1.3751400000000003,57.690000000000005,21.0,3.0,0.0,2.0,81.97480000000003,3.0,0.0
657,ALP-POS-869ac754-1,O=C(Nc1cncc2ccccc12)C1CCOc2cc(Cl)c(Cl)cc21,372.043233048,5.046400000000003,51.22,25.0,3.0,1.0,4.0,99.6877,2.0,1.0
658,MED-COV-4280ac29-15,O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1,286.06396849199996,2.223,23.550000000000004,18.0,2.0,0.0,2.0,74.02900000000004,3.0,0.0
659,LON-WEI-8f408cad-4,O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,320.039769208,0.8973999999999999,57.690000000000005,20.0,3.0,0.0,2.0,72.45880000000002,3.0,0.0
660,BEN-DND-f2e727cd-5,O=C(Nc1cncc2ccccc12)C1CNCc2ccc(Cl)cc21,337.098189812,3.713700000000002,54.02,24.0,3.0,2.0,4.0,96.27240000000002,2.0,0.0
